Food code,Main food description,Gender,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B6,Vitamin B9,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Choline,Calcium,Phosphorus,Magnesium,Iron,Zinc,Copper,Selenium,Potassium,RDA_Vitamin A_(mg),RDA_Vitamin B1_(mg),RDA_Vitamin B2_(mg),RDA_Vitamin B3_(mg),RDA_Vitamin B6_(mg),RDA_Vitamin B9_(mg),RDA_Vitamin B12_(mg),RDA_Vitamin C_(mg),RDA_Vitamin D_(mg),RDA_Vitamin E_(mg),RDA_Vitamin K_(mg),RDA_Choline_(mg),RDA_Calcium_(mg),RDA_Phosphorus_(mg),RDA_Magnesium_(mg),RDA_Iron_(mg),RDA_Zinc_(mg),RDA_Copper_(mg),RDA_Selenium_(mg),RDA_Potassium_(mg)
71601035,"Potato salad with egg, made with light creamy dressing",Male,0.021,0.077,0.079,0.914,0.206,0.014,0.00015,5.3,0.0003,0.51,0.003,47.5,14,50,16,0.38,0.32,0.117,0.004200000000000001,254,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
71601035,"Potato salad with egg, made with light creamy dressing",Female,0.021,0.077,0.079,0.914,0.206,0.014,0.00015,5.3,0.0003,0.51,0.003,47.5,14,50,16,0.38,0.32,0.117,0.004200000000000001,254,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
71601040,"Potato salad with egg, made with Italian dressing",Male,0.019,0.079,0.078,0.935,0.212,0.013,0.00014000000000000001,5.3,0.0003,0.46,0.0106,45.7,15,52,16,0.4,0.33,0.12,0.0043,262,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
71601040,"Potato salad with egg, made with Italian dressing",Female,0.019,0.079,0.078,0.935,0.212,0.013,0.00014000000000000001,5.3,0.0003,0.46,0.0106,45.7,15,52,16,0.4,0.33,0.12,0.0043,262,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
71601045,"Potato salad with egg, made with light Italian dressing",Male,0.019,0.078,0.079,0.927,0.21,0.013,0.00014000000000000001,5.3,0.0003,0.77,0.0043,45.7,16,51,16,0.4,0.33,0.12,0.004200000000000001,263,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
71601045,"Potato salad with egg, made with light Italian dressing",Female,0.019,0.078,0.079,0.927,0.21,0.013,0.00014000000000000001,5.3,0.0003,0.77,0.0043,45.7,16,51,16,0.4,0.33,0.12,0.004200000000000001,263,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
71601050,"Potato salad with egg, made with any type of fat free dressing",Male,0.019,0.074,0.077,0.872,0.192,0.012,0.00013000000000000002,5.0,0.0003,0.15,0.007,43.1,14,49,15,0.39,0.32,0.115,0.004200000000000001,245,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
71601050,"Potato salad with egg, made with any type of fat free dressing",Female,0.019,0.074,0.077,0.872,0.192,0.012,0.00013000000000000002,5.0,0.0003,0.15,0.007,43.1,14,49,15,0.39,0.32,0.115,0.004200000000000001,245,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
71602010,"Potato salad, German style",Male,0.002,0.068,0.048,1.376,0.262,0.023,2.9999999999999997e-05,7.8,0.0001,0.07,0.0028,15.3,17,67,24,0.89,0.38,0.098,0.0017,446,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
71602010,"Potato salad, German style",Female,0.002,0.068,0.048,1.376,0.262,0.023,2.9999999999999997e-05,7.8,0.0001,0.07,0.0028,15.3,17,67,24,0.89,0.38,0.098,0.0017,446,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
